ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
659,659,151,,,
660,660,151,,,
661,661,151,,,
662,662,151,,,
663,663,151,,,
664,664,151,,,
665,665,152,,,
667,667,153,,,
668,668,153,,,
669,669,154,,,
670,670,154,,,
671,671,151,,,
672,672,149,,,
674,674,149,,,
679,679,155,,,
680,680,156,,,
681,681,151,,,
682,682,151,,,
684,684,157,,,
687,687,157,,,
690,690,157,,,
691,691,146,,,
693,693,149,,,
702,702,147,,,
704,704,148,,,
706,706,149,,,
707,707,149,,,
709,709,149,,,
710,710,148,,,
714,714,147,,,
720,720,149,,,
723,723,150,,,
724,724,149,,,
726,726,163,,,
727,727,170,,,
728,728,170,,,
729,729,170,,,
730,730,163,,,
733,733,170,,,
734,734,170,,,
735,735,170,,,
736,736,163,,,
740,740,163,,,
742,742,163,,,
744,744,163,,,
745,745,172,,,
746,746,170,,,
748,748,171,,,
749,749,171,,,
750,750,171,,,
751,751,171,,,
752,752,171,,,
754,754,171,,,
755,755,171,,,
756,756,171,,,
757,757,171,,,
758,758,171,,,
759,759,171,,,
760,760,171,,,
761,761,173,,,
762,762,174,,,
763,763,174,,,
764,764,175,,,
765,765,163,,,
766,766,176,,,
767,767,173,,,
769,769,173,,,
770,770,173,,,
771,771,158,,,
773,773,173,,,
777,777,159,,,
778,778,160,,,
779,779,173,,,
780,780,161,,,
781,781,162,,,
784,784,164,,,
787,787,165,,,
792,792,166,,,
794,794,173,,,
796,796,167,,,
797,797,167,,,
799,799,173,,,
800,800,173,,,
806,806,168,,,
808,808,169,,,
811,811,170,,,
818,818,189,,,
819,819,189,,,
820,820,189,,,
821,821,189,,,
823,823,189,,,
824,824,190,,,
825,825,189,,,
829,829,189,,,
830,830,191,,,
831,831,189,,,
833,833,189,,,
834,834,189,,,
835,835,189,,,
836,836,189,,,
837,837,189,,,
838,838,189,,,
839,839,189,,,
840,840,192,,,
843,843,189,,,
844,844,189,,,
845,845,189,,,
846,846,177,,,
847,847,189,,,
848,848,178,,,
849,849,189,,,
850,850,189,,,
851,851,179,,,
852,852,179,,,
853,853,179,,,
854,854,180,,,
855,855,181,,,
856,856,182,,,
858,858,182,,,
860,860,181,,,
863,863,182,,,
864,864,183,,,
865,865,184,,,
867,867,185,,,
869,869,186,,,
870,870,186,,,
873,873,186,,,
874,874,185,,,
881,881,187,,,
883,883,187,,,
885,885,187,,,
886,886,188,,,
888,888,187,,,
889,889,187,,,
893,893,187,,,
898,898,189,,,
901,901,189,,,
904,904,189,,,
912,912,206,,,
913,913,206,,,
914,914,206,,,
915,915,206,,,
916,916,206,,,
919,919,206,,,
920,920,206,,,
921,921,201,,,
922,922,206,,,
924,924,210,,,
925,925,206,,,
926,926,206,,,
928,928,206,,,
929,929,206,,,
930,930,206,,,
932,932,211,,,
933,933,212,,,
934,934,211,,,
935,935,211,,,
936,936,211,,,
937,937,212,,,
940,940,213,,,
941,941,211,,,
942,942,211,,,
943,943,211,,,
944,944,211,,,
945,945,211,,,
946,946,211,,,
947,947,211,,,
948,948,211,,,
949,949,193,,,
950,950,193,,,
951,951,193,,,
952,952,194,,,
953,953,194,,,
954,954,195,,,
955,955,194,,,
957,957,206,,,
958,958,197,,,
959,959,197,,,
964,964,198,,,
965,965,199,,,
966,966,200,,,
967,967,200,,,
970,970,202,,,
973,973,203,,,
976,976,203,,,
977,977,203,,,
978,978,202,,,
979,979,204,,,
980,980,205,,,
990,990,207,,,
992,992,207,,,
994,994,196,,,
995,995,196,,,
997,997,207,,,
998,998,207,,,
1002,1002,207,,,
1008,1008,208,,,
1011,1011,209,,,
1014,1014,210,,,
1025,1025,235,,,
1026,1026,235,,,
1027,1027,235,,,
1028,1028,235,,,
1029,1029,236,,,
1034,1034,237,,,
1035,1035,215,,,
1036,1036,215,,,
1037,1037,235,,,
1038,1038,235,,,
1042,1042,217,,,
1043,1043,236,,,
1044,1044,235,,,
1046,1046,215,,,
1048,1048,235,,,
1049,1049,236,,,
1050,1050,236,,,
1053,1053,219,,,
1054,1054,220,,,
1055,1055,218,,,
1056,1056,218,,,
1057,1057,218,,,
1058,1058,220,,,
1059,1059,221,,,
1061,1061,218,,,
1062,1062,218,,,
1064,1064,218,,,
1065,1065,222,,,
1066,1066,221,,,
1067,1067,218,,,
1068,1068,218,,,
1069,1069,223,,,
1070,1070,218,,,
1071,1071,218,,,
1072,1072,224,,,
1074,1074,224,,,
1075,1075,224,,,
1076,1076,225,,,
1077,1077,218,,,
1078,1078,226,,,
1079,1079,227,,,
1081,1081,228,,,
1083,1083,229,,,
1088,1088,236,,,
1089,1089,218,,,
1090,1090,218,,,
1094,1094,230,,,
1099,1099,230,,,
1100,1100,218,,,
1101,1101,218,,,
1102,1102,214,,,
1104,1104,231,,,
1113,1113,232,,,
1115,1115,216,,,
1117,1117,233,,,
1118,1118,233,,,
1120,1120,233,,,
1121,1121,234,,,
1125,1125,236,,,
1132,1132,236,,,
1135,1135,236,,,
1138,1138,218,,,
1149,1149,241,,,
1150,1150,241,,,
1151,1151,241,,,
1152,1152,241,,,
1153,1153,241,,,
1154,1154,241,,,
1158,1158,241,,,
1159,1159,241,,,
1160,1160,241,,,
1161,1161,241,,,
1163,1163,241,,,
1164,1164,241,,,
1166,1166,241,,,
1168,1168,241,,,
1169,1169,241,,,
1170,1170,241,,,
1173,1173,244,,,
1174,1174,241,,,
1175,1175,244,,,
1176,1176,241,,,
1177,1177,241,,,
1180,1180,241,,,
1181,1181,241,,,
1183,1183,241,,,
1184,1184,241,,,
1185,1185,245,,,
1186,1186,241,,,
1187,1187,241,,,
1188,1188,241,,,
1189,1189,244,,,
1190,1190,241,,,
1192,1192,241,,,
1193,1193,241,,,
1195,1195,241,,,
1196,1196,241,,,
1198,1198,241,,,
1200,1200,241,,,
1206,1206,241,,,
1207,1207,241,,,
1208,1208,241,,,
1209,1209,241,,,
1212,1212,246,,,
1215,1215,238,,,
1226,1226,239,,,
1227,1227,238,,,
1228,1228,240,,,
1230,1230,242,,,
1240,1240,241,,,
1242,1242,241,,,
1244,1244,241,,,
1245,1245,241,,,
1247,1247,241,,,
1248,1248,241,,,
1252,1252,241,,,
1259,1259,243,,,
1262,1262,241,,,
1265,1265,241,,,
1273,1273,249,,,
1274,1274,250,,,
1275,1275,250,,,
1276,1276,250,,,
1277,1277,251,,,
1278,1278,250,,,
1281,1281,252,,,
1282,1282,249,,,
1283,1283,249,,,
1284,1284,250,,,
1288,1288,250,,,
1289,1289,250,,,
1291,1291,250,,,
1293,1293,250,,,
1294,1294,250,,,
1295,1295,250,,,
1297,1297,250,,,
1298,1298,250,,,
1299,1299,250,,,
1300,1300,250,,,
1301,1301,250,,,
1303,1303,250,,,
1304,1304,250,,,
1305,1305,250,,,
1306,1306,250,,,
1307,1307,250,,,
1308,1308,250,,,
1309,1309,250,,,
1310,1310,250,,,
1311,1311,250,,,
1312,1312,250,,,
1313,1313,250,,,
1314,1314,248,,,
1315,1315,248,,,
1316,1316,250,,,
1317,1317,250,,,
1319,1319,250,,,
1321,1321,250,,,
1325,1325,250,,,
1326,1326,250,,,
1327,1327,250,,,
1328,1328,250,,,
1330,1330,250,,,
1333,1333,250,,,
1337,1337,253,,,
1338,1338,250,,,
1339,1339,250,,,
1340,1340,247,,,
1349,1349,250,,,
1351,1351,250,,,
1353,1353,250,,,
1354,1354,250,,,
1356,1356,250,,,
1357,1357,250,,,
1361,1361,250,,,
1366,1366,250,,,
1369,1369,250,,,
1372,1372,250,,,
1381,1381,281,,,
1382,1382,282,,,
1383,1383,282,,,
1384,1384,282,,,
1385,1385,283,,,
1389,1389,254,,,
1390,1390,254,,,
1391,1391,255,,,
1392,1392,255,,,
1396,1396,254,,,
1397,1397,284,,,
1399,1399,257,,,
1400,1400,282,,,
1401,1401,255,,,
1403,1403,258,,,
1404,1404,254,,,
1405,1405,255,,,
1408,1408,259,,,
1409,1409,259,,,
1410,1410,259,,,
1411,1411,259,,,
1412,1412,260,,,
1413,1413,260,,,
1415,1415,259,,,
1416,1416,261,,,
1417,1417,259,,,
1418,1418,262,,,
1419,1419,262,,,
1420,1420,260,,,
1421,1421,263,,,
1422,1422,255,,,
1424,1424,255,,,
1425,1425,258,,,
1426,1426,256,,,
1427,1427,256,,,
1428,1428,264,,,
1429,1429,265,,,
1431,1431,265,,,
1433,1433,266,,,
1438,1438,268,,,
1439,1439,269,,,
1440,1440,270,,,
1441,1441,271,,,
1444,1444,272,,,
1446,1446,274,,,
1447,1447,273,,,
1448,1448,273,,,
1451,1451,273,,,
1452,1452,275,,,
1453,1453,276,,,
1455,1455,277,,,
1465,1465,278,,,
1467,1467,278,,,
1469,1469,279,,,
1470,1470,279,,,
1472,1472,267,,,
1473,1473,278,,,
1477,1477,278,,,
1484,1484,281,,,
1487,1487,280,,,
