ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
49623,49623,957,,,
476,476,114,,,
33245,33245,645,,,
33246,33246,365,,,
66016,66016,110,,,
33249,33249,124,,,
49635,49635,317,,,
62886,62886,145,,,
33254,33254,544,,,
33255,33255,566,,,
16872,16872,31,,,
489,489,239,,,
16874,16874,1586,,,
33259,33259,1440,,,
49647,49647,1260,,,
66038,66038,766,,,
49655,49655,1824,,,
49656,49656,193,,,
33273,33273,66,,,
33274,33274,67,,,
33275,33275,60,,,
49661,49661,737,,,
49662,49662,999,,,
65621,65621,911,,,
16897,16897,925,,,
514,514,1509,,,
516,516,1088,,,
49674,49674,1722,,,
49675,49675,1724,,,
16908,16908,1656,,,
16909,16909,1654,,,
66062,66062,918,,,
33295,33295,12,,,
49680,49680,523,,,
33299,33299,1366,,,
49684,49684,703,,,
5550,5550,560,,,
33302,33302,181,,,
33303,33303,119,,,
16920,16920,1251,,,
538,538,502,,,
49691,49691,666,,,
66076,66076,391,,,
16925,16925,985,,,
26205,26205,879,,,
16928,16928,1163,,,
16929,16929,1695,,,
546,546,408,,,
66083,66083,606,,,
49700,49700,67,,,
49701,49701,1158,,,
49702,49702,168,,,
49703,49703,1002,,,
49704,49704,994,,,
16938,16938,985,,,
27399,27399,924,,,
33325,33325,1229,,,
66094,66094,1842,,,
559,559,1147,,,
66096,66096,551,,,
49713,49713,737,,,
13747,13747,1216,,,
33336,33336,314,,,
54708,54708,172,,,
16956,16956,50,,,
49725,49725,304,,,
33344,33344,810,,,
16962,16962,194,,,
579,579,1107,,,
580,580,1106,,,
581,581,556,,,
16968,16968,910,,,
585,585,203,,,
33356,33356,779,,,
38209,38209,868,,,
591,591,1043,,,
592,592,183,,,
593,593,184,,,
49746,49746,1474,,,
596,596,1857,,,
27406,27406,119,,,
66135,66135,774,,,
33368,33368,1251,,,
24676,24676,1468,,,
63851,63851,173,,,
66140,66140,1203,,,
66141,66141,1212,,,
16990,16990,991,,,
60343,60343,1215,,,
66151,66151,1101,,,
49768,49768,775,,,
49769,49769,936,,,
17002,17002,911,,,
65639,65639,930,,,
33390,33390,1055,,,
66159,66159,879,,,
49781,49781,169,,,
65641,65641,896,,,
49785,49785,55,,,
634,634,1842,,,
30143,30143,1709,,,
41484,41484,1227,,,
49791,49791,144,,,
2749,2749,119,,,
33412,33412,1109,,,
33413,33413,1113,,,
66182,66182,379,,,
33419,33419,73,,,
15389,15389,949,,,
49806,49806,1088,,,
33423,33423,832,,,
44592,44592,1321,,,
66195,66195,1164,,,
49812,49812,796,,,
661,661,310,,,
43801,43801,811,,,
66200,66200,624,,,
62916,62916,913,,,
49819,49819,832,,,
66204,66204,985,,,
669,669,1054,,,
670,670,1587,,,
33439,33439,1203,,,
33440,33440,1213,,,
673,673,1445,,,
17059,17059,141,,,
677,677,1138,,,
17064,17064,649,,,
49833,49833,476,,,
686,686,1564,,,
66224,66224,1674,,,
66225,66225,1745,,,
16499,16499,1483,,,
66231,66231,1384,,,
57460,57460,79,,,
698,698,449,,,
49851,49851,1263,,,
54730,54730,1842,,,
33470,33470,924,,,
33471,33471,1243,,,
17088,17088,872,,,
49859,49859,1735,,,
49860,49860,1066,,,
11041,11041,933,,,
49864,49864,175,,,
66250,66250,970,,,
35004,35004,648,,,
33485,33485,624,,,
33486,33486,632,,,
62925,62925,1074,,,
33488,33488,303,,,
49877,49877,857,,,
49880,49880,942,,,
729,729,1399,,,
66267,66267,1599,,,
49888,49888,1671,,,
49889,49889,1679,,,
738,738,694,,,
17123,17123,449,,,
740,740,12,,,
33509,33509,946,,,
49894,49894,879,,,
746,746,168,,,
27431,27431,949,,,
66285,66285,104,,,
33518,33518,1095,,,
33519,33519,24,,,
33520,33520,267,,,
753,753,979,,,
17138,17138,327,,,
62931,62931,255,,,
33524,33524,566,,,
33528,33528,744,,,
33529,33529,544,,,
17147,17147,170,,,
33534,33534,551,,,
768,768,929,,,
41088,41088,363,,,
49923,49923,435,,,
49925,49925,1496,,,
49281,49281,1509,,,
17161,17161,116,,,
49932,49932,1084,,,
17165,17165,471,,,
17166,17166,472,,,
17167,17167,1640,,,
17168,17168,1639,,,
17169,17169,1642,,,
786,786,758,,,
66323,66323,1055,,,
788,788,387,,,
789,789,538,,,
17174,17174,956,,,
17175,17175,585,,,
49944,49944,496,,,
47077,47077,1127,,,
49949,49949,1794,,,
58162,58162,1363,,,
17187,17187,933,,,
66342,66342,523,,,
5596,5596,483,,,
33578,33578,34,,,
57479,57479,502,,,
812,812,3,,,
43341,43341,214,,,
61693,61693,38,,,
54749,54749,1695,,,
32761,32761,804,,,
33588,33588,837,,,
33589,33589,1206,,,
31670,31670,264,,,
17208,17208,489,,,
17209,17209,1180,,,
33595,33595,483,,,
828,828,398,,,
49981,49981,1842,,,
33598,33598,729,,,
17216,17216,328,,,
41099,41099,9,,,
49988,49988,638,,,
66373,66373,89,,,
49991,49991,1366,,,
17225,17225,1573,,,
33610,33610,255,,,
49995,49995,304,,,
844,844,1076,,,
28702,28702,1766,,,
33617,33617,1809,,,
850,850,1710,,,
30179,30179,230,,,
17236,17236,1081,,,
142,142,514,,,
66391,66391,853,,,
50008,50008,1215,,,
50011,50011,469,,,
50012,50012,468,,,
33630,33630,1783,,,
863,863,341,,,
16528,16528,773,,,
866,866,450,,,
17251,17251,1599,,,
46567,46567,1126,,,
66412,66412,304,,,
50029,50029,348,,,
50030,50030,349,,,
66415,66415,409,,,
57859,57859,75,,,
50033,50033,973,,,
33650,33650,561,,,
33651,33651,134,,,
33652,33652,132,,,
13801,13801,399,,,
66424,66424,61,,,
17273,17273,1842,,,
43839,43839,1411,,,
33309,33309,1009,,,
66430,66430,879,,,
895,895,96,,,
896,896,581,,,
897,897,266,,,
50050,50050,1507,,,
17284,17284,668,,,
50055,50055,1606,,,
50056,50056,1596,,,
24727,24727,533,,,
50060,50060,1573,,,
52034,52034,1067,,,
66447,66447,776,,,
913,913,829,,,
914,914,830,,,
50069,50069,1405,,,
32921,32921,276,,,
33688,33688,1093,,,
66459,66459,333,,,
66460,66460,330,,,
50077,50077,666,,,
17311,17311,633,,,
66466,66466,191,,,
62961,62961,1555,,,
66474,66474,1128,,,
50093,50093,106,,,
943,943,736,,,
944,944,1190,,,
43275,43275,615,,,
17330,17330,879,,,
66486,66486,233,,,
17338,17338,832,,,
16543,16543,970,,,
958,958,1098,,,
17343,17343,566,,,
17347,17347,307,,,
17348,17348,278,,,
33733,33733,973,,,
967,967,780,,,
33736,33736,868,,,
50121,50121,423,,,
50122,50122,56,,,
50123,50123,1694,,,
66508,66508,1305,,,
33743,33743,488,,,
50128,50128,233,,,
17361,17361,479,,,
50130,50130,1203,,,
979,979,1259,,,
33748,33748,1128,,,
33749,33749,429,,,
33750,33750,430,,,
17370,17370,58,,,
988,988,1383,,,
17373,17373,490,,,
991,991,550,,,
994,994,326,,,
33763,33763,1128,,,
166,166,1157,,,
52049,52049,380,,,
66538,66538,1150,,,
167,167,1142,,,
50156,50156,958,,,
66541,66541,190,,,
50159,50159,1082,,,
32936,32936,1377,,,
60243,60243,731,,,
17396,17396,666,,,
5630,5630,566,,,
17399,17399,1021,,,
50168,50168,688,,,
17403,17403,941,,,
16554,16554,949,,,
17408,17408,1322,,,
1025,1025,228,,,
66562,66562,985,,,
17411,17411,985,,,
17412,17412,988,,,
33797,33797,1813,,,
17414,17414,174,,,
66567,66567,937,,,
17416,17416,324,,,
50186,50186,88,,,
33805,33805,763,,,
66574,66574,922,,,
1041,1041,459,,,
1042,1042,487,,,
33814,33814,1002,,,
17433,17433,341,,,
66586,66586,1319,,,
33819,33819,394,,,
50204,50204,552,,,
17437,17437,1483,,,
17439,17439,1158,,,
33826,33826,729,,,
35675,35675,1290,,,
11492,11492,465,,,
1063,1063,590,,,
50220,50220,233,,,
8370,8370,141,,,
17457,17457,1784,,,
17458,17458,296,,,
17459,17459,868,,,
17460,17460,874,,,
66613,66613,273,,,
36043,36043,941,,,
17463,17463,1242,,,
17467,17467,1483,,,
66621,66621,1437,,,
66624,66624,25,,,
52064,52064,1082,,,
50243,50243,1253,,,
33860,33860,1786,,,
1093,1093,925,,,
66630,66630,991,,,
50247,50247,1111,,,
59503,59503,216,,,
33868,33868,985,,,
60258,60258,155,,,
17487,17487,660,,,
33872,33872,1179,,,
8376,8376,925,,,
33874,33874,526,,,
66644,66644,1794,,,
1109,1109,294,,,
17496,17496,1576,,,
33883,33883,1082,,,
50270,50270,415,,,
1119,1119,1487,,,
66656,66656,1825,,,
66657,66657,1819,,,
1122,1122,1344,,,
66659,66659,987,,,
33892,33892,27,,,
50280,50280,283,,,
50282,50282,936,,,
33900,33900,1057,,,
17517,17517,1185,,,
66670,66670,420,,,
33903,33903,1735,,,
66672,66672,785,,,
50289,50289,119,,,
33906,33906,1562,,,
13843,13843,28,,,
1141,1141,1133,,,
1142,1142,1128,,,
66679,66679,1593,,,
50296,50296,267,,,
33916,33916,1576,,,
17533,17533,1763,,,
57868,57868,256,,,
1151,1151,1176,,,
1152,1152,633,,,
17538,17538,258,,,
17539,17539,485,,,
17540,17540,483,,,
30230,30230,649,,,
50311,50311,1683,,,
17544,17544,696,,,
66697,66697,901,,,
50314,50314,536,,,
1163,1163,1183,,,
16578,16578,503,,,
66703,66703,853,,,
17552,17552,847,,,
50322,50322,1849,,,
33941,33941,1072,,,
1176,1176,835,,,
39,39,1200,,,
66714,66714,445,,,
60271,60271,342,,,
32773,32773,1122,,,
1182,1182,296,,,
66720,66720,584,,,
17569,17569,1070,,,
17570,17570,1071,,,
17573,17573,941,,,
17575,17575,835,,,
66728,66728,290,,,
66729,66729,850,,,
50346,50346,206,,,
50347,50347,205,,,
33964,33964,1397,,,
42016,42016,1158,,,
1199,1199,1805,,,
64962,64962,925,,,
41160,41160,562,,,
33971,33971,1726,,,
5662,5662,1606,,,
33978,33978,1032,,,
50363,50363,1046,,,
17596,17596,901,,,
1213,1213,1511,,,
1214,1214,268,,,
1215,1215,267,,,
1217,1217,1215,,,
57547,57547,1047,,,
33990,33990,542,,,
17607,17607,585,,,
66760,66760,1278,,,
50379,50379,269,,,
17612,17612,766,,,
17613,17613,1477,,,
41165,41165,614,,,
66768,66768,1170,,,
1233,1233,483,,,
61148,61148,394,,,
55143,55143,290,,,
16590,16590,1764,,,
17623,17623,901,,,
50392,50392,255,,,
66777,66777,639,,,
17626,17626,1819,,,
34011,34011,994,,,
1245,1245,907,,,
66782,66782,585,,,
1247,1247,1423,,,
1249,1249,941,,,
50779,50779,1370,,,
66788,66788,114,,,
50405,50405,414,,,
50406,50406,409,,,
50407,50407,410,,,
66792,66792,821,,,
66793,66793,822,,,
1259,1259,1219,,,
1260,1260,409,,,
1261,1261,423,,,
66798,66798,994,,,
66799,66799,1254,,,
34032,34032,638,,,
66801,66801,228,,,
66802,66802,221,,,
34037,34037,116,,,
66807,66807,616,,,
66808,66808,1813,,,
1273,1273,296,,,
1274,1274,457,,,
50428,50428,248,,,
34047,34047,1754,,,
46635,46635,141,,,
34052,34052,1402,,,
66822,66822,879,,,
17672,17672,905,,,
50442,50442,489,,,
34059,34059,1553,,,
66828,66828,615,,,
34062,34062,991,,,
65752,65752,523,,,
66834,66834,1822,,,
50451,50451,534,,,
17684,17684,941,,,
1301,1301,1015,,,
1302,1302,1004,,,
66839,66839,639,,,
17688,17688,1140,,,
17689,17689,566,,,
1307,1307,1639,,,
43143,43143,534,,,
66845,66845,766,,,
66846,66846,949,,,
17695,17695,831,,,
66850,66850,1735,,,
1315,1315,1861,,,
50473,50473,348,,,
50474,50474,349,,,
50475,50475,361,,,
66860,66860,1324,,,
66861,66861,1322,,,
1326,1326,89,,,
17711,17711,431,,,
50480,50480,67,,,
66865,66865,1164,,,
50482,50482,1173,,,
17715,17715,773,,,
17716,17716,774,,,
66871,66871,32,,,
34104,34104,429,,,
34105,34105,430,,,
50492,50492,1203,,,
34109,34109,879,,,
50495,50495,368,,,
24595,24595,18,,,
65760,65760,1189,,,
17732,17732,1245,,,
50501,50501,973,,,
48782,48782,264,,,
50503,50503,1784,,,
50506,50506,914,,,
34123,34123,79,,,
66892,66892,88,,,
17741,17741,201,,,
17742,17742,197,,,
34127,34127,812,,,
34128,34128,472,,,
1361,1361,918,,,
50516,50516,302,,,
48055,48055,766,,,
50519,50519,729,,,
66904,66904,901,,,
17753,17753,1363,,,
17754,17754,449,,,
34143,34143,586,,,
34144,34144,1202,,,
60304,60304,887,,,
66916,66916,256,,,
50533,50533,1842,,,
34150,34150,1711,,,
17768,17768,993,,,
34153,34153,1100,,,
66922,66922,1461,,,
34156,34156,1821,,,
34159,34159,1468,,,
34160,34160,1275,,,
34164,34164,933,,,
66935,66935,1722,,,
66936,66936,1725,,,
66938,66938,119,,,
41194,41194,933,,,
34175,34175,1769,,,
17792,17792,1397,,,
17796,17796,79,,,
17797,17797,78,,,
50566,50566,1704,,,
17799,17799,88,,,
1417,1417,307,,,
17802,17802,116,,,
34187,34187,819,,,
16267,16267,1508,,,
34190,34190,1564,,,
1423,1423,574,,,
60605,60605,757,,,
66963,66963,1659,,,
17812,17812,693,,,
17815,17815,1217,,,
50585,50585,428,,,
66970,66970,342,,,
1437,1437,711,,,
66974,66974,1174,,,
17823,17823,523,,,
64970,64970,99,,,
34209,34209,560,,,
34212,34212,933,,,
50599,50599,693,,,
66985,66985,1242,,,
22087,22087,933,,,
1452,1452,1451,,,
1453,1453,423,,,
34222,34222,1224,,,
17839,17839,662,,,
50609,50609,632,,,
243,243,1557,,,
17844,17844,22,,,
17845,17845,124,,,
1463,1463,994,,,
1464,1464,1049,,,
50618,50618,314,,,
48673,48673,250,,,
17853,17853,1311,,,
55766,55766,290,,,
17856,17856,1419,,,
17857,17857,1416,,,
34242,34242,559,,,
50627,50627,558,,,
24054,24054,340,,,
17866,17866,1722,,,
50635,50635,941,,,
50636,50636,60,,,
19362,19362,330,,,
50641,50641,1317,,,
50642,50642,1310,,,
67029,67029,774,,,
67031,67031,201,,,
17880,17880,1068,,,
67033,67033,1097,,,
50650,50650,619,,,
34270,34270,1764,,,
17888,17888,933,,,
17889,17889,935,,,
34274,34274,239,,,
50659,50659,749,,,
17892,17892,940,,,
34277,34277,431,,,
34278,34278,258,,,
1513,1513,1867,,,
50666,50666,365,,,
34283,34283,162,,,
39331,39331,887,,,
63059,63059,314,,,
8446,8446,698,,,
1526,1526,296,,,
67063,67063,1395,,,
34296,34296,903,,,
67065,67065,304,,,
57599,57599,380,,,
67069,67069,1067,,,
50686,50686,377,,,
50687,50687,386,,,
58972,58972,168,,,
17922,17922,341,,,
67075,67075,296,,,
22102,22102,295,,,
15327,15327,347,,,
50695,50695,331,,,
50696,50696,558,,,
34313,34313,763,,,
50699,50699,279,,,
34317,34317,1052,,,
